iter	Passed	Remaining
896	2435	279
897	2438	276
898	2440	274
899	2443	271
900	2445	268
901	2448	266
902	2450	263
903	2453	260
904	2456	257
905	2458	255
906	2460	252
907	2463	249
908	2466	246
909	2468	244
910	2470	241
911	2473	238
912	2475	235
913	2478	233
914	2481	230
915	2483	227
916	2485	225
917	2488	222
918	2490	219
919	2493	216
920	2495	214
921	2498	211
922	2500	208
923	2502	205
924	2505	203
925	2507	200
926	2510	197
927	2513	194
928	2515	192
929	2518	189
930	2520	186
931	2523	184
932	2525	181
933	2528	178
934	2530	175
935	2533	173
936	2535	170
937	2538	167
938	2540	165
939	2543	162
940	2545	159
941	2548	156
942	2550	154
943	2552	151
944	2555	148
945	2558	146
946	2560	143
947	2562	140
948	2565	137
949	2567	135
950	2570	132
951	2572	129
952	2574	126
953	2577	124
954	2580	121
955	2582	118
956	2584	116
957	2587	113
958	2590	110
959	2592	108
960	2595	105
961	2597	102
962	2601	99
963	2603	97
964	2606	94
965	2608	91
966	2611	89
967	2613	86
968	2616	83
969	2618	80
970	2621	78
971	2623	75
972	2626	72
973	2628	70
974	2630	67
975	2633	64
976	2635	62
977	2638	59
978	2641	56
979	2643	53
980	2645	51
981	2648	48
982	2651	45
983	2654	43
984	2656	40
985	2659	37
986	2661	35
987	2664	32
988	2666	29
989	2669	26
990	2671	24
991	2674	21
992	2676	18
993	2679	16
994	2681	13
995	2684	10
996	2686	8
997	2689	5
998	2691	2
999	2693	0
